rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__min_data_in_leaf,param_model__reg_alpha,param_model__reg_lambda,params,split0_test_score,split0_train_score
1,-0.6599324138600244,0.0,-0.6590567099475232,0.0,29.284032344818115,0.0,1.8411974906921387,0.0,0.1,100,0.1,0.1,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 0.1, 'model__reg_lambda': 0.1}",-0.6599324138600244,-0.6590567099475232
1,-0.6599324138600244,0.0,-0.6590567099475232,0.0,28.89612054824829,0.0,2.367379903793335,0.0,0.1,1000,0.1,0.1,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 0.1, 'model__reg_lambda': 0.1}",-0.6599324138600244,-0.6590567099475232
3,-0.6599334765067391,0.0,-0.6590577733606413,0.0,29.211710691452026,0.0,1.7870991230010986,0.0,0.1,1000,0.1,1,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 0.1, 'model__reg_lambda': 1}",-0.6599334765067391,-0.6590577733606413
4,-0.6599334765067393,0.0,-0.6590577733606413,0.0,29.797450304031372,0.0,1.8808398246765137,0.0,0.1,100,0.1,1,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 0.1, 'model__reg_lambda': 1}",-0.6599334765067393,-0.6590577733606413
5,-0.6599336798166859,0.0,-0.6590579748307015,0.0,28.830759048461914,0.0,1.7369763851165771,0.0,0.1,100,1,0.1,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 1, 'model__reg_lambda': 0.1}",-0.6599336798166859,-0.6590579748307015
5,-0.6599336798166859,0.0,-0.6590579748307015,0.0,29.615787982940674,0.0,1.9047093391418457,0.0,0.1,1000,1,0.1,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 1, 'model__reg_lambda': 0.1}",-0.6599336798166859,-0.6590579748307015
7,-0.6599347425572215,0.0,-0.6590590383429565,0.0,29.657041549682617,0.0,1.905491590499878,0.0,0.1,100,1,1,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 1, 'model__reg_lambda': 1}",-0.6599347425572215,-0.6590590383429565
7,-0.6599347425572215,0.0,-0.6590590383429565,0.0,28.204960584640503,0.0,2.0445146560668945,0.0,0.1,1000,1,1,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 1, 'model__reg_lambda': 1}",-0.6599347425572215,-0.6590590383429565
9,-0.6618412505398518,0.0,-0.6610346700037983,0.0,29.47542929649353,0.0,1.9644851684570312,0.0,0.1,100,0.1,10,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 0.1, 'model__reg_lambda': 10}",-0.6618412505398518,-0.6610346700037983
9,-0.6618412505398518,0.0,-0.6610346700037983,0.0,28.68901801109314,0.0,1.9979660511016846,0.0,0.1,1000,0.1,10,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 0.1, 'model__reg_lambda': 10}",-0.6618412505398518,-0.6610346700037983
11,-0.6618425306218976,0.0,-0.661035946638455,0.0,29.473021984100342,0.0,1.9371447563171387,0.0,0.1,100,1,10,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 1, 'model__reg_lambda': 10}",-0.6618425306218976,-0.661035946638455
11,-0.6618425306218976,0.0,-0.661035946638455,0.0,28.551448583602905,0.0,1.8643882274627686,0.0,0.1,1000,1,10,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 1, 'model__reg_lambda': 10}",-0.6618425306218976,-0.661035946638455
13,-0.6621028000331867,0.0,-0.6613064866212721,0.0,28.562734365463257,0.0,1.9485480785369873,0.0,0.1,100,10,0.1,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 10, 'model__reg_lambda': 0.1}",-0.6621028000331867,-0.6613064866212721
13,-0.6621028000331867,0.0,-0.6613064866212721,0.0,29.075636863708496,0.0,1.8339591026306152,0.0,0.1,1000,10,0.1,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 10, 'model__reg_lambda': 0.1}",-0.6621028000331867,-0.6613064866212721
15,-0.6621037868266293,0.0,-0.6613074718270255,0.0,29.18854808807373,0.0,1.9414377212524414,0.0,0.1,100,10,1,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 10, 'model__reg_lambda': 1}",-0.6621037868266293,-0.6613074718270255
15,-0.6621037868266293,0.0,-0.6613074718270255,0.0,28.63603377342224,0.0,1.945143461227417,0.0,0.1,1000,10,1,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 10, 'model__reg_lambda': 1}",-0.6621037868266293,-0.6613074718270255
17,-0.662113646726485,0.0,-0.6613173158297192,0.0,29.33059334754944,0.0,1.8899950981140137,0.0,0.1,100,10,10,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 10, 'model__reg_lambda': 10}",-0.662113646726485,-0.6613173158297192
17,-0.662113646726485,0.0,-0.6613173158297192,0.0,29.17262554168701,0.0,1.8812191486358643,0.0,0.1,1000,10,10,"{'model__learning_rate': 0.1, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 10, 'model__reg_lambda': 10}",-0.662113646726485,-0.6613173158297192
19,-0.9423360003753252,0.0,-0.9408313884657656,0.0,29.245373487472534,0.0,1.884859561920166,0.0,0.01,100,0.1,0.1,"{'model__learning_rate': 0.01, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 0.1, 'model__reg_lambda': 0.1}",-0.9423360003753252,-0.9408313884657656
19,-0.9423360003753252,0.0,-0.9408313884657656,0.0,29.948163270950317,0.0,1.9825313091278076,0.0,0.01,1000,0.1,0.1,"{'model__learning_rate': 0.01, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 0.1, 'model__reg_lambda': 0.1}",-0.9423360003753252,-0.9408313884657656
21,-0.9423362192471474,0.0,-0.9408316064705908,0.0,29.29172420501709,0.0,2.142634391784668,0.0,0.01,100,0.1,1,"{'model__learning_rate': 0.01, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 0.1, 'model__reg_lambda': 1}",-0.9423362192471474,-0.9408316064705908
21,-0.9423362192471474,0.0,-0.9408316064705908,0.0,29.043254137039185,0.0,2.0688061714172363,0.0,0.01,1000,0.1,1,"{'model__learning_rate': 0.01, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 0.1, 'model__reg_lambda': 1}",-0.9423362192471474,-0.9408316064705908
23,-0.9423362405595236,0.0,-0.9408316278718218,0.0,29.380411863327026,0.0,2.093331813812256,0.0,0.01,100,1,0.1,"{'model__learning_rate': 0.01, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 1, 'model__reg_lambda': 0.1}",-0.9423362405595236,-0.9408316278718218
23,-0.9423362405595236,0.0,-0.9408316278718218,0.0,29.193050861358643,0.0,2.0875890254974365,0.0,0.01,1000,1,0.1,"{'model__learning_rate': 0.01, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 1, 'model__reg_lambda': 0.1}",-0.9423362405595236,-0.9408316278718218
25,-0.9423364594963906,0.0,-0.9408318459411701,0.0,30.728169202804565,0.0,1.7088329792022705,0.0,0.01,1000,1,1,"{'model__learning_rate': 0.01, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 1, 'model__reg_lambda': 1}",-0.9423364594963906,-0.9408318459411701
26,-0.9423364594963907,0.0,-0.9408318459411701,0.0,29.781792402267456,0.0,1.8912277221679688,0.0,0.01,100,1,1,"{'model__learning_rate': 0.01, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 1, 'model__reg_lambda': 1}",-0.9423364594963907,-0.9408318459411701
27,-0.9423384084888218,0.0,-0.9408337870358682,0.0,29.28971576690674,0.0,1.8809738159179688,0.0,0.01,100,0.1,10,"{'model__learning_rate': 0.01, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 0.1, 'model__reg_lambda': 10}",-0.9423384084888218,-0.9408337870358682
27,-0.9423384084888218,0.0,-0.9408337870358682,0.0,29.503430604934692,0.0,1.807567834854126,0.0,0.01,1000,0.1,10,"{'model__learning_rate': 0.01, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 0.1, 'model__reg_lambda': 10}",-0.9423384084888218,-0.9408337870358682
29,-0.9423386486660558,0.0,-0.9408340264348911,0.0,29.39899253845215,0.0,1.7689099311828613,0.0,0.01,100,1,10,"{'model__learning_rate': 0.01, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 1, 'model__reg_lambda': 10}",-0.9423386486660558,-0.9408340264348911
29,-0.9423386486660558,0.0,-0.9408340264348911,0.0,29.873606204986572,0.0,2.024794340133667,0.0,0.01,1000,1,10,"{'model__learning_rate': 0.01, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 1, 'model__reg_lambda': 10}",-0.9423386486660558,-0.9408340264348911
31,-0.9423548844434435,0.0,-0.9408495889333944,0.0,29.800801753997803,0.0,1.9728724956512451,0.0,0.01,100,10,0.1,"{'model__learning_rate': 0.01, 'model__min_data_in_leaf': 100, 'model__reg_alpha': 10, 'model__reg_lambda': 0.1}",-0.9423548844434435,-0.9408495889333944
31,-0.9423548844434435,0.0,-0.9408495889333944,0.0,29.23784613609314,0.0,1.7948777675628662,0.0,0.01,1000,10,0.1,"{'model__learning_rate': 0.01, 'model__min_data_in_leaf': 1000, 'model__reg_alpha': 10, 'model__reg_lambda': 0.1}",-0.9423548844434435,-0.9408495889333944
